Batch,User,Source,StartDate,EndDate,Actual Samples,Expected Samples,Final Missing %
Batch1,cmp1_usr652,Permission,2024.11.18 22:24,2025.3.11 22:46,62,453,86.31
Batch2,cmp1_usr654,Light,2024.11.19 16:50,2025.1.20 10:17,11994,17778,32.53
Batch2,cmp1_usr654,Connectivity,2024.11.19 16:50,2025.1.20 10:17,11994,17778,32.53
Batch2,cmp1_usr654,Battery,2024.11.19 16:50,2025.1.20 10:17,11994,17778,32.53
Batch2,cmp1_usr654,Permission,2024.11.19 16:45,2025.1.20 5:26,183,247,25.91
Batch2,cmp1_usr655,Light,2024.11.20 3:37,2025.1.23 23:28,16081,18671,13.87
Batch2,cmp1_usr655,Connectivity,2024.11.20 3:37,2025.1.23 23:28,16081,18671,13.87
Batch2,cmp1_usr655,Battery,2024.11.20 3:37,2025.1.23 23:28,16081,18671,13.87
Batch2,cmp1_usr655,Permission,2024.11.20 3:32,2025.1.23 20:03,225,259,13.13
Batch2,cmp1_usr656,Light,2024.11.20 15:24,2025.1.17 7:03,13701,16604,17.48
Batch2,cmp1_usr656,Connectivity,2024.11.20 15:24,2025.1.17 7:03,13701,16604,17.48
Batch2,cmp1_usr656,Battery,2024.11.20 15:24,2025.1.17 7:03,13701,16604,17.48
Batch2,cmp1_usr656,Permission,2024.11.20 15:19,2025.1.17 1:33,193,230,16.09
Batch2,cmp1_usr660,Light,2024.12.20 16:04,2025.2.14 12:09,4669,16128,71.05
Batch2,cmp1_usr660,Connectivity,2024.12.20 16:04,2025.2.14 12:09,4668,16128,71.06
Batch2,cmp1_usr660,Battery,2024.12.20 16:04,2025.2.14 12:09,4668,16128,71.06
Batch2,cmp1_usr660,Permission,2024.12.20 15:52,2025.2.14 17:22,77,225,65.78
Batch2,cmp1_usr661,Light,2024.12.20 15:59,2025.2.26 6:44,18910,19474,2.9
Batch2,cmp1_usr661,Connectivity,2024.12.20 15:59,2025.2.26 6:44,18910,19474,2.9
Batch2,cmp1_usr661,Battery,2024.12.20 15:59,2025.2.26 6:44,18910,19474,2.9
Batch2,cmp1_usr661,Permission,2024.12.20 15:54,2025.2.26 4:54,265,271,2.21
Batch2,cmp1_usr662,Light,2024.12.20 20:26,2024.12.31 17:25,3132,16128,80.58
Batch2,cmp1_usr662,Connectivity,2024.12.20 20:26,2024.12.31 17:25,3132,16128,80.58
Batch2,cmp1_usr662,Battery,2024.12.20 20:26,2024.12.31 17:25,3132,16128,80.58
Batch2,cmp1_usr662,Permission,2024.12.20 20:15,2024.12.31 12:15,43,224,80.8
Batch2,cmp1_usr663,Light,2024.12.20 20:17,2024.12.28 18:27,2282,16128,85.85
Batch2,cmp1_usr663,Connectivity,2024.12.20 20:17,2024.12.28 18:27,2282,16128,85.85
Batch2,cmp1_usr663,Battery,2024.12.20 20:17,2024.12.28 18:27,2282,16128,85.85
